default,0,1.39,2.78,4.17,5.56,6.94,8.33,9.72,11.11,12.5,13.89
0,0.570,0.086,-0.208,-0.262,-0.289,-0.290,-0.314,-0.332,-0.333,-0.335,-0.456
0.100,0.466,0.043,-0.209,-0.274,-0.290,-0.291,-0.316,-0.348,-0.397,-0.487,-0.621
0.200,0.100,-0.037,-0.226,-0.303,-0.389,-0.466,-0.525,-0.545,-0.574,-0.661,-0.795
0.300,-0.146,-0.382,-0.612,-0.613,-0.748,-0.801,-0.803,-0.808,-0.808,-0.894,-1.028
0.400,-0.329,-0.665,-0.860,-0.980,-1.212,-1.227,-1.228,-1.230,-1.230,-1.234,-1.367
0.500,-0.843,-1.271,-1.445,-1.500,-1.537,-1.551,-1.551,-1.583,-1.642,-1.729,-1.863
0.600,-1.510,-1.782,-1.952,-2.062,-2.150,-2.199,-2.230,-2.282,-2.342,-2.430,-2.563
0.700,-2.383,-2.624,-2.845,-2.943,-2.983,-3.025,-3.190,-3.239,-3.296,-3.383,-3.517
0.800,-3.687,-3.953,-4.144,-4.273,-4.326,-4.403,-4.455,-4.496,-4.552,-4.640,-4.774
