default,0.00,1.39,2.78,4.17,5.56,6.94,8.33,9.72,11.11,12.50,13.89,15.28,16.67
-4,-4.4,-4.363636551,-4.377800754,-4.123122297,-4.200251976,-3.941588901,-3.983020054,-3.8,-3.767618565,-3.76158025,-3.588141709,-3.5,-3.4
-3.5,-4,-3.912946297,-3.855195605,-3.637975596,-3.675459,-3.548710083,-3.417860611,-3.24471272,-3.246114944,-3.004011648,-3.039347414,-2.92900558,-2.8
-3,-3.4,-3.373812496,-3.331230923,-3,-2.997811863,-2.9,-2.875177095,-2.649806805,-2.433249009,-2.444935612,-2.431940746,-2.393829973,-2.3
-2.5,-2.8,-2.723184726,-2.719015619,-2.62231722,-2.41277305,-2.428188471,-2.258351491,-2.178778835,-2.113338781,-2.028335512,-1.964596576,-1.913704611,-1.85
-2,-2.3,-2.238080454,-2.124425664,-2.024509438,-1.916697062,-1.81361914,-1.66606418,-1.577847558,-1.511356594,-1.490684556,-1.398017631,-1.35,-1.3
-1.5,-1.7,-1.610613371,-1.470852729,-1.461088567,-1.404871706,-1.368495381,-1.286898193,-1.238396629,-1.1,-0.9943455959,-0.8298192234,-0.8,-0.78
-1,-1.3,-1.275235376,-1.103445843,-1.088406302,-1.039321358,-1.02105369,-0.9751710693,-0.8854352235,-0.8210113976,-0.607258157,-0.5174264392,-0.5412350047,-0.5610285835
-0.8,-0.9590832786,-0.9,-0.8186387583,-0.7447984172,-0.7023011258,-0.6545403693,-0.6320942295,-0.5935860191,-0.55048343,-0.4442914804,-0.3901021846,-0.3919597965,-0.35
-0.6,-0.7658249026,-0.7066297769,-0.6748573388,-0.6454624801,-0.5800721935,-0.5176519761,-0.5081073889,-0.4988131589,-0.4004919454,-0.3257258364,-0.3018138626,-0.3110086312,-0.3
-0.4,-0.45,-0.3955078655,-0.45,-0.4420551681,-0.378263005,-0.3483463745,-0.3051486357,-0.2979650452,-0.2632949777,-0.2982640387,-0.2920397922,-0.3068711635,-0.25
-0.2,-0.236347113,-0.24,-0.2466631395,-0.2166629978,-0.2289237699,-0.2494739762,-0.2681446089,-0.2930905187,-0.24,-0.2246614573,-0.1669471084,-0.177229732,-0.1213663697
0,0,0,-0.05,-0.05,-0.05,-0.05,-0.08,-0.08,-0.08,-0.08,-0.1,-0.1,-0.1
0.2,0.16,0.12,0.0208379152,0.02,0,0,-0.05,-0.05,-0.05,-0.05,-0.08,-0.08,-0.08
0.4,0.3750641135,0.3047092516,0.221616677,0.2471973044,0.2350857222,0.231864649,0.2018410901,0.1562028944,0.1616276318,0.14,0.1,0.05,0.05
0.6,0.52,0.5193656045,0.5070327645,0.4865393415,0.4329989451,0.3958019322,0.354683087,0.3307829017,0.3291051391,0.3347948202,0.3177862573,0.3439621507,0.34
0.8,0.8239214061,0.8064813329,0.7847310427,0.6810651129,0.6338313891,0.5583948098,0.5275341787,0.4842021213,0.4326073185,0.4077661307,0.3723376985,0.38,0.3985055042
1,1.1,1.081666906,1.010666969,0.8781165326,0.762716663,0.6873783468,0.6553170752,0.5790677856,0.5361829552,0.48682048,0.45491258,0.3999384688,0.4
1.5,1.52,1.501457265,1.381911528,1.257342524,1.139809219,1.033006839,0.9103484248,0.8172015502,0.6687928801,0.6055502227,0.5058744415,0.4088174437,0.41
2,1.8,1.7975859,1.638490281,1.426616009,1.251194668,1.113771502,0.9618652599,0.8098033929,0.6953401352,0.5896689884,0.51189749,0.4180952453,0.42
