default,0,1.39,2.78,4.17,5.56,6.94,8.33,9.72,11.11,12.5,13.89
0,0.464,-0.079,-0.183,-0.263,-0.264,-0.307,-0.339,-0.340,-0.342,-0.419,-0.420
0.100,0.463,-0.080,-0.184,-0.277,-0.308,-0.310,-0.340,-0.345,-0.399,-0.482,-0.616
0.200,0.106,-0.141,-0.416,-0.444,-0.472,-0.475,-0.524,-0.528,-0.574,-0.658,-0.795
0.300,-0.028,-0.213,-0.687,-0.712,-0.719,-0.774,-0.774,-0.775,-0.832,-0.896,-1.028
0.400,-0.386,-0.593,-1.057,-1.064,-1.071,-1.103,-1.105,-1.107,-1.123,-1.226,-1.367
0.500,-0.845,-1.033,-1.328,-1.368,-1.430,-1.433,-1.465,-1.489,-1.590,-1.708,-1.863
0.600,-1.377,-1.622,-1.909,-1.914,-1.915,-1.962,-2.038,-2.129,-2.303,-2.407,-2.563
0.700,-2.411,-2.596,-2.612,-2.614,-2.665,-2.885,-2.905,-3.008,-3.065,-3.339,-3.517
0.800,-3.687,-3.951,-3.989,-3.887,-4.006,-4.095,-4.011,-4.135,-4.380,-4.607,-4.774
